Date,Location,Variant,Num Sequences,Num Sequences Total,Perc Sequences
5/25/2020,Uganda,Alpha,0,1,0
5/25/2020,Ukraine,Alpha,0,9,0
5/25/2020,United Arab Emirates,Alpha,0,891,0
5/25/2020,United Kingdom,Alpha,0,2767,0
5/25/2020,United States,Alpha,0,4736,0
5/25/2020,Uruguay,Alpha,0,14,0
6/8/2020,Argentina,Alpha,0,67,0
6/8/2020,Australia,Alpha,0,94,0
6/8/2020,Austria,Alpha,0,1,0
6/8/2020,Bahrain,Alpha,0,1,0
6/8/2020,Bangladesh,Alpha,0,69,0
6/8/2020,Belgium,Alpha,0,15,0
6/8/2020,Bosnia and Herzegovina,Alpha,0,2,0
6/8/2020,Brazil,Alpha,0,194,0
6/8/2020,Canada,Alpha,0,211,0
6/8/2020,Chile,Alpha,0,81,0
6/8/2020,Colombia,Alpha,0,8,0
6/8/2020,Costa Rica,Alpha,0,8,0
6/8/2020,Cyprus,Alpha,0,12,0
6/8/2020,Czechia,Alpha,0,4,0
6/8/2020,Denmark,Alpha,0,122,0
6/8/2020,Djibouti,Alpha,0,5,0
6/8/2020,Ecuador,Alpha,0,8,0
6/8/2020,Egypt,Alpha,0,141,0
6/8/2020,Finland,Alpha,0,37,0
6/8/2020,France,Alpha,0,33,0
6/8/2020,Gambia,Alpha,0,11,0
6/8/2020,Georgia,Alpha,0,1,0
6/8/2020,Germany,Alpha,0,82,0
6/8/2020,Ghana,Alpha,0,8,0
6/8/2020,Guatemala,Alpha,0,6,0
6/8/2020,Hong Kong,Alpha,0,8,0
6/8/2020,Hungary,Alpha,0,10,0
6/8/2020,India,Alpha,0,617,0
6/8/2020,Indonesia,Alpha,0,18,0
6/8/2020,Iran,Alpha,0,5,0
6/8/2020,Iraq,Alpha,0,10,0
6/8/2020,Ireland,Alpha,0,8,0
6/8/2020,Israel,Alpha,0,18,0
6/8/2020,Italy,Alpha,0,35,0
6/8/2020,Japan,Alpha,0,146,0
6/8/2020,Jordan,Alpha,0,2,0
6/8/2020,Kenya,Alpha,0,38,0
6/8/2020,Latvia,Alpha,0,3,0
6/8/2020,Lebanon,Alpha,0,3,0
6/8/2020,Lithuania,Alpha,0,2,0
6/8/2020,Madagascar,Alpha,0,35,0
